Controls,image,url,icon,stix_type,protocol,group,typeql,class,form,form_group,form_family,condition1,field1,value1,condition2,field2,value2,head,prior_string0,post_field0,prior_string1,post_field1,prior_string2,post_field2,prior_string3,post_field3,prior_string4,post_field4,prior_string5,post_field5,prior_string6,post_field6
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-context.svg,sighting-context,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.sighting-context,,,,,Sighting-Context,Name -> ,extensions.sighting-context.name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-exclusion.svg,sighting-exclusion,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.sighting-exclusion,,,,,Sighting-Exclusion,Name -> ,extensions.sighting-exclusion.source,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-enrichment.svg,sighting-enrichment,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.sighting-enrichment,,,,,Sighting-Enrichment,Name -> ,extensions.sighting-enrichment.name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting--hunt.svg,sighting--hunt,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.sighting-hunt,,,,,Sighting--Hunt,Name -> ,extensions.sighting-hunt.name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-framework.svg,sighting-framework,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.sighting-framework,,,,,Sighting-Framework,Framework ->,extensions.sighting-framework.framework,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-external.svg,sighting-external,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.sighting-external,,,,,Sighting-External,Source ->,extensions.sighting-external.source,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-anecdote.svg,sighting-anecdote,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.sighting-anecdote,,,,,Sighting-Anecdote,Person  -> ,extensions.sighting-anecdote.person_name,Description ->,description,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting-generic.svg,sighting-generic,sighting,os-threat,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,EXISTS,extensions.,,,,,Sighting-Generic,Description ->,description,,,,,,,,,,,,
,,https://raw.githubusercontent.com/os-threat/images/refs/heads/main/img/norm-sighting.svg,sighting,sighting,stix21,sro,sighting,Sighting,sighting,sro-forms,os-threat-forms,,,,,,,Sighting,Description ->,description,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
